BillingId,ProductId,SubProductId,PrimaryTerritory,SecondaryTerritory
1157240,1,0,100424,
1157560,1,0,100424,
1158520,1,0,100429,
1159390,1,0,100429,
1159740,1,0,103974,
1159760,1,0,100429,
1159990,1,0,100429,
1160360,1,0,100429,
1160550,1,0,100429,
1161050,1,0,100424,
1161350,1,0,100429,
1161750,1,0,100429,
1162290,1,0,100424,
1164570,1,0,100424,
1164910,1,0,100429,
1165350,1,0,100429,
1166900,1,0,100429,
1166910,1,0,100429,
1169190,1,0,100429,
1169390,1,0,100429,
1170620,1,0,100429,
1170940,1,0,100429,
1171110,1,0,100823,
1172960,1,0,100429,
1174320,1,0,100424,
1175070,1,0,100424,
1176470,1,0,100429,
1178020,1,0,100429,
1178620,1,0,100429,
1180210,1,0,100424,
1180280,1,0,100424,
1180920,1,0,100429,
1183850,1,0,100429,
1184390,1,0,100429,
1186440,1,0,100823,
1186650,1,0,100429,
1188010,1,0,,102875
1188980,1,0,100429,
1189130,1,0,100424,
1189270,1,0,100429,
1192310,1,0,100429,
1192980,1,0,102505,
1194200,1,0,103974,
1194620,1,0,100424,
1195140,1,0,,102867
1195200,1,0,100429,
1195290,1,0,100424,
1199380,1,0,100429,
1200511,1,0,100429,
1200701,1,0,100424,
1201810,1,0,100429,
1202050,1,0,100424,
1202421,1,0,100429,
1202690,1,0,100429,
1202900,1,0,100429,
1204231,1,0,100822,
1204681,1,0,100424,
1204770,1,0,,103294
1205210,1,0,100429,
1205441,1,0,100429,
1205460,1,0,103974,
1206000,1,0,100429,
1206231,1,0,100429,
1206761,1,0,100424,
1208531,1,0,100429,
1210000,1,0,100424,
1210321,1,0,100429,
1210371,1,0,100429,
1210791,1,0,100429,
1211590,1,0,100429,
1211714,1,0,100429,
1211814,1,0,100823,
1212321,1,0,100424,
1212554,1,0,100429,
1213161,1,0,100424,
1213300,1,0,100429,
1213530,1,0,100429,
1213751,1,0,100429,
1213870,1,0,100429,
1214064,1,0,100429,
1214114,1,0,100429,
1214354,1,0,100429,
1214700,1,0,100429,
1215201,1,0,,103286
1215270,1,0,100823,
1215744,1,0,100429,
1215870,1,0,100424,
1216424,1,0,100429,
1216494,1,0,100429,
1216941,1,0,100424,
1217130,1,0,100429,
1217234,1,0,,102873
1218150,1,0,100429,
1218184,1,0,100424,
1218640,1,0,100424,
1219630,1,0,100429,
1219900,1,0,100429,
1220201,1,0,100429,
1220210,1,0,100823,
1220984,1,0,103974,
1221070,1,0,100424,
1221164,1,0,103974,
1221721,1,0,100429,
1221930,1,0,100822,
1223091,1,0,100424,
1223421,1,0,100424,
1224951,1,0,103974,
1224991,1,0,100429,
1225084,1,0,100429,
1225640,1,0,100823,
1225711,1,0,100429,
1226460,1,0,100424,
1226480,1,0,100429,
1226871,1,0,100429,
1226980,1,0,100429,
1227504,1,0,100429,
1227611,1,0,100429,
1227874,1,0,100424,
1228261,1,0,100429,
1228354,1,0,100424,
1229064,1,0,100429,
1229080,1,0,100424,
1229554,1,0,100429,
1229874,1,0,100424,
1230871,1,0,100429,
1231044,1,0,103974,
1231084,1,0,100424,
1231211,1,0,100429,
1231484,1,0,100429,
1231980,1,0,100429,
1232724,1,0,100429,
1233201,1,0,100429,
1233584,1,0,100429,
1233644,1,0,100429,
1233911,1,0,100424,
1234751,1,0,100429,
1234884,1,0,103974,
1235344,1,0,100429,
1235371,1,0,100429,
1235551,1,0,100429,
1235564,1,0,100424,
1236201,1,0,100429,
1236264,1,0,100424,
1236391,1,0,100424,
1237051,1,0,100429,
1237281,1,0,100429,
1238061,1,0,100429,
1238354,1,0,100424,
1238551,1,0,103974,
1238634,1,0,100424,
1239311,1,0,103974,
