acct_no,product_id,sub_product_id,pri_terr,sec_terr
ST1164910,1,0,100429,
ST1165350,1,0,100429,
ST1166900,1,0,100429,
ST1166910,1,0,100429,
ST1169190,1,0,100429,
ST1169390,1,0,100429,
ST1170620,1,0,100429,
ST1170940,1,0,100429,
ST1171110,1,0,100823,
ST1172960,1,0,100429,
ST1174320,1,0,100424,
ST1175070,1,0,100424,
ST1176470,1,0,100429,
ST1178020,1,0,100429,
ST1178620,1,0,100429,
ST1180210,1,0,100424,
ST1180280,1,0,100424,
ST1180920,1,0,100429,
ST1183850,1,0,100429,
ST1184390,1,0,100429,
ST1186440,1,0,100823,
ST1186650,1,0,100429,
ST1188010,1,0,,102875
ST1188980,1,0,100429,
ST1189130,1,0,100424,
ST1189270,1,0,100429,
ST1192310,1,0,100429,
ST1192980,1,0,102505,
ST1194200,1,0,103974,
ST1194620,1,0,100424,
ST1195140,1,0,,102867
ST1195200,1,0,100429,
ST1195290,1,0,100424,
ST1199380,1,0,100429,
ST1200511,1,0,100429,
ST1200701,1,0,100424,
ST1201810,1,0,100429,
ST1202050,1,0,100424,
ST1202421,1,0,100429,
ST1202690,1,0,100429,
ST1202900,1,0,100429,
ST1204231,1,0,100822,
ST1204681,1,0,100424,
ST1204770,1,0,,103294
ST1205210,1,0,100429,
ST1205441,1,0,100429,
ST1205460,1,0,103974,
ST1206000,1,0,100429,
ST1206231,1,0,100429,
ST1206761,1,0,100424,
ST1208531,1,0,100429,
ST1210000,1,0,100424,
ST1210321,1,0,100429,
ST1210371,1,0,100429,
ST1210791,1,0,100429,
ST1211590,1,0,100429,
ST1211714,1,0,100429,
ST1211814,1,0,100823,
ST1212321,1,0,100424,
ST1212554,1,0,100429,
ST1213161,1,0,100424,
ST1213300,1,0,100429,
ST1213530,1,0,100429,
ST1213751,1,0,100429,
ST1213870,1,0,100429,
ST1214064,1,0,100429,
ST1214114,1,0,100429,
ST1214354,1,0,100429,
ST1214700,1,0,100429,
ST1215201,1,0,,103286
ST1215270,1,0,100823,
ST1215744,1,0,100429,
ST1215870,1,0,100424,
ST1216424,1,0,100429,
ST1216494,1,0,100429,
ST1216941,1,0,100424,
ST1217130,1,0,100429,
ST1217234,1,0,,102873
ST1218150,1,0,100429,
ST1218184,1,0,100424,
ST1218640,1,0,100424,
ST1219630,1,0,100429,
ST1219900,1,0,100429,
ST1220201,1,0,100429,
ST1220210,1,0,100823,
ST1220984,1,0,103974,
ST1221070,1,0,100424,
ST1221164,1,0,103974,
ST1221721,1,0,100429,
ST1221930,1,0,100822,
ST1223091,1,0,100424,
ST1223421,1,0,100424,
ST1224951,1,0,103974,
ST1224991,1,0,100429,
ST1225084,1,0,100429,
ST1225640,1,0,100823,
ST1225711,1,0,100429,
ST1226460,1,0,100424,
ST1226480,1,0,100429,
ST1226871,1,0,100429,
ST1226980,1,0,100429,
ST1227504,1,0,100429,
ST1227611,1,0,100429,
ST1227874,1,0,100424,
ST1228261,1,0,100429,
ST1228354,1,0,100424,
ST1229064,1,0,100429,
ST1229080,1,0,100424,
ST1229554,1,0,100429,
ST1229874,1,0,100424,
ST1230871,1,0,100429,
ST1231044,1,0,103974,
ST1231084,1,0,100424,
ST1231211,1,0,100429,
ST1231484,1,0,100429,
ST1231980,1,0,100429,
ST1232724,1,0,100429,
ST1233201,1,0,100429,
ST1233584,1,0,100429,
ST1233644,1,0,100429,
ST1233911,1,0,100424,
ST1234751,1,0,100429,
ST1234884,1,0,103974,
ST1235344,1,0,100429,
ST1235371,1,0,100429,
ST1235551,1,0,100429,
ST1235564,1,0,100424,
ST1236201,1,0,100429,
ST1236264,1,0,100424,
ST1236391,1,0,100424,
ST1237051,1,0,100429,
ST1237281,1,0,100429,
ST1238061,1,0,100429,
ST1238354,1,0,100424,
ST1238551,1,0,103974,
ST1238634,1,0,100424,
ST1239311,1,0,103974,
ST1239341,1,0,100424,
ST1239461,1,0,100823,103280
ST1239631,1,0,100429,
ST1239824,1,0,100424,
ST1240584,1,0,107950,
ST1240951,1,0,103974,
ST1241641,1,0,100822,
ST1242071,1,0,100429,
ST1242671,1,0,100424,
ST1243074,1,0,100424,
ST1243611,1,0,100429,
ST1244111,1,0,100429,
ST1244934,1,0,100424,
ST1245661,1,0,100429,
ST1246431,1,0,100429,
ST1246804,1,0,100429,
ST1246931,1,0,100429,
ST1247024,1,0,100823,
ST1247371,1,0,100429,
ST1247891,1,0,100429,
ST1248171,1,0,103974,
ST1248324,1,0,103974,
ST1250921,1,0,100429,
ST1251174,1,0,100429,
ST1251181,1,0,100429,
ST1251844,1,0,100385,
ST1252371,1,0,100429,
ST1252761,1,0,100823,
ST1253181,1,0,100429,
ST1253881,1,0,100429,
ST1254041,1,0,100424,
ST1254244,1,0,,103293
ST1254584,1,0,100429,
ST1255584,1,0,100424,
ST1255711,1,0,100429,
ST1255984,1,0,100429,
ST1256264,1,0,100429,
ST1257694,1,0,100823,
ST1257744,1,0,100424,
ST1258431,1,0,100429,
ST1258731,1,0,100429,
ST1259351,1,0,100822,
ST1259821,1,0,100429,
ST1260121,1,0,100424,
ST1260351,1,0,100429,
ST1260524,1,0,103974,
ST1260781,1,0,,102867
ST1260871,1,0,100429,
ST1261751,1,0,100424,
ST1262764,1,0,100424,
ST1262781,1,0,100429,
ST1263411,1,0,100429,
ST1265641,1,0,103974,
ST1266344,1,0,100424,
ST1267714,1,0,100429,
ST1267734,1,0,100429,
ST1268014,1,0,100424,
ST1268081,1,0,100429,
ST1268884,1,0,100424,
ST1269084,1,0,100429,
ST1269901,1,0,100822,
ST1270091,1,0,100429,
ST1270341,1,0,100429,
ST1272424,1,0,103974,
ST1272714,1,0,100424,
ST1273261,1,0,100429,
ST1273661,1,0,100424,
ST1274111,1,0,100429,
ST1274171,1,0,100424,
ST1274391,1,0,100429,
ST1274791,1,0,100424,
ST1274941,1,0,,102873
ST1276081,1,0,100429,
ST1276371,1,0,100424,
ST1276981,1,0,100823,
ST1277481,1,0,100424,
ST1278541,1,0,100429,
ST1279101,1,0,,102873
ST1279911,1,0,100429,
ST1280124,1,0,103974,
ST1280364,1,0,100429,
ST1281704,1,0,100429,
ST1282131,1,0,100424,
ST1282251,1,0,100424,
ST1282361,1,0,100424,
ST1283964,1,0,,102864
ST1284744,1,0,100429,
ST1285214,1,0,100429,
ST1285644,1,0,100429,
ST1286191,1,0,100823,
ST1286281,1,0,103974,
ST1287631,1,0,100424,
ST1287701,1,0,103974,
ST1288044,1,0,100424,
ST1288121,1,0,103974,
ST1288541,1,0,100429,
ST1291274,1,0,100424,
ST1291301,1,0,100424,
ST1293894,1,0,103974,
ST1294221,1,0,,102866
ST1294331,1,0,103974,
ST1296491,1,0,100429,
ST1296661,1,0,100424,
ST1297041,1,0,100429,
ST1298431,1,0,,103294
ST1299871,1,0,100424,
ST1301971,1,0,100429,
ST1304461,1,0,103974,
ST1305811,1,0,100429,
ST1305991,1,0,100429,
ST1306051,1,0,100429,
ST1309421,1,0,100429,
ST1309791,1,0,100429,
ST1311781,1,0,100429,
ST1311881,1,0,100429,
ST1312084,1,0,103974,
ST1313481,1,0,100429,
ST1313781,1,0,103974,
ST1314491,1,0,102505,
ST1314871,1,0,100429,
ST1315631,1,0,100424,
ST1315711,1,0,100424,
ST1316821,1,0,100429,
ST1318761,1,0,100429,
ST1320701,1,0,100429,
ST1323635,1,0,103974,
ST1323794,1,0,100424,
ST1325374,1,0,100424,
ST1325694,1,0,100429,
ST1326195,1,0,100429,
ST1326585,1,0,103974,
ST1327354,1,0,100429,
ST1327394,1,0,102505,
ST1327954,1,0,100429,
ST1328024,1,0,103974,
ST1330864,1,0,100424,
ST1330924,1,0,103974,
ST1334784,1,0,100429,
ST1334964,1,0,100429,
ST1335745,1,0,100429,
ST1336054,1,0,103974,
ST1336534,1,0,100424,
ST1340545,1,0,100277,
ST1341944,1,0,102505,
ST1342175,1,0,100429,
ST1344425,1,0,103974,
ST1344695,1,0,100429,
ST1348335,1,0,103974,
ST1348464,1,0,100429,
ST1348785,1,0,100385,
ST1349155,1,0,100429,
ST1349904,1,0,100429,
ST1350415,1,0,100424,
ST1350614,1,0,100429,
ST1351155,1,0,107950,
ST1351225,1,0,100970,UNASSIGN
ST1351945,1,0,100429,
ST1352125,1,0,103974,
ST1354875,1,0,100823,
